"move.count","my.x","my.y","next.x","next.y","visits","utility"
2,"2","3","1","1",54,0.592592592592593
2,"2","3","1","5",49,0.571428571428571
2,"2","3","3","1",64,0.59375
2,"2","3","3","5",77,0.61038961038961
2,"2","3","4","2",54,0.574074074074074
2,"2","3","4","4",55,0.527272727272727
2,"2","4","0","3",67,0.552238805970149
2,"2","4","0","5",41,0.609756097560976
2,"2","4","1","2",85,0.423529411764706
2,"2","4","1","6",29,0.586206896551724
2,"2","4","3","2",73,0.493150684931507
2,"2","4","3","6",89,0.48314606741573
2,"2","4","4","3",79,0.556962025316456
2,"2","4","4","5",65,0.369230769230769
2,"2","5","0","4",56,0.482142857142857
2,"2","5","0","6",36,0.5
2,"2","5","1","3",88,0.409090909090909
2,"2","5","3","3",45,0.444444444444444
2,"2","5","4","4",82,0.51219512195122
2,"2","5","4","6",69,0.478260869565217
2,"2","6","0","5",118,0.635593220338983
2,"2","6","1","4",136,0.536764705882353
2,"2","6","3","4",125,0.592
2,"2","6","4","5",123,0.495934959349593
2,"3","0","1","1",101,0.534653465346535
2,"3","0","2","2",86,0.395348837209302
2,"3","0","4","2",98,0.663265306122449
2,"3","0","5","1",107,0.420560747663551
2,"3","1","1","0",79,0.506329113924051
2,"3","1","1","2",70,0.414285714285714
2,"3","1","2","3",117,0.478632478632479
2,"3","1","4","3",104,0.451923076923077
2,"3","1","5","0",68,0.617647058823529
2,"3","1","5","2",74,0.459459459459459
2,"3","2","1","1",45,0.533333333333333
2,"3","2","1","3",64,0.5
2,"3","2","2","0",33,0.545454545454545
2,"3","2","2","4",57,0.578947368421053
2,"3","2","4","0",45,0.444444444444444
2,"3","2","4","4",44,0.590909090909091
2,"3","2","5","1",50,0.5
2,"3","2","5","3",70,0.514285714285714
2,"3","3","1","2",53,0.584905660377358
2,"3","3","1","4",52,0.576923076923077
2,"3","3","2","1",69,0.594202898550725
2,"3","3","2","5",85,0.458823529411765
2,"3","3","4","1",65,0.461538461538462
2,"3","3","4","5",56,0.446428571428571
2,"3","3","5","2",79,0.481012658227848
2,"3","3","5","4",53,0.452830188679245
2,"3","4","1","3",62,0.548387096774194
2,"3","4","1","5",60,0.55
2,"3","4","2","2",67,0.447761194029851
2,"3","4","2","6",36,0.472222222222222
2,"3","4","4","2",45,0.466666666666667
2,"3","4","4","6",49,0.448979591836735
2,"3","4","5","3",75,0.506666666666667
2,"3","4","5","5",62,0.5
2,"3","5","1","4",56,0.428571428571429
2,"3","5","1","6",59,0.542372881355932
2,"3","5","2","3",98,0.469387755102041
2,"3","5","4","3",82,0.48780487804878
2,"3","5","5","4",72,0.486111111111111
2,"3","5","5","6",73,0.493150684931507
2,"3","6","1","5",128,0.4453125
2,"3","6","2","4",155,0.445161290322581
2,"3","6","4","4",100,0.54
2,"3","6","5","5",113,0.345132743362832
2,"4","0","2","1",98,0.459183673469388
2,"4","0","3","2",166,0.566265060240964
2,"4","0","5","2",104,0.567307692307692
2,"4","0","6","1",104,0.586538461538462
2,"4","1","2","0",78,0.551282051282051
2,"4","1","2","2",92,0.456521739130435
2,"4","1","3","3",68,0.558823529411765
2,"4","1","5","3",71,0.647887323943662
2,"4","1","6","0",44,0.477272727272727
2,"4","1","6","2",79,0.607594936708861
2,"4","2","2","1",69,0.391304347826087
2,"4","2","2","3",77,0.415584415584416
2,"4","2","3","0",65,0.523076923076923
2,"4","2","3","4",74,0.662162162162162
2,"4","2","5","0",42,0.595238095238095
2,"4","2","5","4",55,0.436363636363636
2,"4","2","6","1",43,0.511627906976744
2,"4","2","6","3",79,0.594936708860759
2,"4","3","2","2",58,0.53448275862069
2,"4","3","2","4",51,0.509803921568627
2,"4","3","3","1",58,0.568965517241379
2,"4","3","3","5",58,0.568965517241379
2,"4","3","5","1",41,0.585365853658537
2,"4","3","5","5",53,0.641509433962264
2,"4","3","6","2",38,0.394736842105263
2,"4","3","6","4",35,0.542857142857143
2,"4","4","2","3",76,0.5
2,"4","4","2","5",80,0.4125
2,"4","4","3","2",59,0.508474576271186
2,"4","4","3","6",59,0.389830508474576
2,"4","4","5","2",71,0.380281690140845
2,"4","4","5","6",24,0.583333333333333
2,"4","4","6","3",63,0.523809523809524
2,"4","4","6","5",42,0.357142857142857
2,"4","5","2","4",103,0.524271844660194
2,"4","5","2","6",78,0.512820512820513
2,"4","5","3","3",53,0.528301886792453
2,"4","5","5","3",100,0.49
2,"4","5","6","4",71,0.577464788732394
2,"4","5","6","6",35,0.514285714285714
2,"4","6","2","5",126,0.53968253968254
2,"4","6","3","4",150,0.4
2,"4","6","5","4",120,0.525
2,"4","6","6","5",132,0.553030303030303
2,"5","0","3","1",150,0.48
2,"5","0","4","2",137,0.452554744525547
2,"5","0","6","2",145,0.531034482758621
2,"5","1","3","0",95,0.694736842105263
2,"5","1","3","2",97,0.536082474226804
2,"5","1","4","3",68,0.661764705882353
2,"5","1","6","3",108,0.601851851851852
2,"5","2","3","1",90,0.633333333333333
2,"5","2","3","3",60,0.683333333333333
2,"5","2","4","0",75,0.533333333333333
2,"5","2","4","4",82,0.414634146341463
2,"5","2","6","0",46,0.369565217391304
2,"5","2","6","4",87,0.620689655172414
2,"5","3","3","2",96,0.510416666666667
2,"5","3","3","4",78,0.5
2,"5","3","4","1",76,0.539473684210526
2,"5","3","4","5",67,0.611940298507463
2,"5","3","6","1",58,0.603448275862069
2,"5","3","6","5",73,0.493150684931507
2,"5","4","3","3",44,0.363636363636364
2,"5","4","3","5",106,0.462264150943396
2,"5","4","4","2",93,0.526881720430108
